"Year","Count","Prediction","Lower95CI","Upper95CI"
1923,11648,11729.7017518959,10498.2881699374,13318.0727582107
1924,NA,12085.6542470594,9422.84250313607,15262.1564585169
1925,12428,12357.5514865998,10981.4650758046,13655.6657345336
1926,NA,12266.1996122515,9559.11452901432,15398.8107247423
1927,12488,12105.511072766,10622.0460781131,13324.9815326572
1928,8958.99999999999,9256.00320412825,8398.47795503882,10432.7112950293
1929,9122,9075.12637936255,8148.15342547919,10047.0099406563
1930,8257.00000000001,8341.30956175176,7551.87690151106,9281.56577105364
1931,7696,8004.08307056716,7249.7015614851,9145.16351531177
1932,10624,10400.428919922,9197.59298852388,11408.0197631508
1933,11521,11276.009707102,9963.5343572552,12401.2437825747
1934,10042,10176.2602260518,9217.51547926154,11258.1902666401
1935,10112,10134.505592623,9140.984957004,11189.9841613493
1936,10281,10159.2122991486,9042.87286687238,11199.0008445113
1937,8793.99999999999,9100.9399208016,8233.57928197064,10306.094232313
1938,10976,10725.8520713126,9442.59942927859,11834.9768731058
1939,NA,10307.2529525206,7507.77079968116,13984.8911978326
1940,NA,9794.35186604037,6779.86712042427,13731.0898969122
1941,NA,9287.32058586977,6334.03228943307,13124.576482786
1942,NA,8797.68531219825,6381.04066047525,11806.1183282897
1943,8235,8327.86504212974,7450.76661850503,9408.07719474762
1944,NA,8439.74274789241,6278.48217982084,11014.6477318656
1945,NA,8470.25037827818,6383.07786617204,11164.96150694
1946,8513,8491.53558113708,7522.07379179713,9462.22091441175
1947,NA,8300.94642775587,6510.52788052898,10498.9628342835
1948,7815,7991.5571666586,7203.75974605109,8993.16602555147
1949,9496,9288.35531233305,8185.72177448576,10192.7317888472
1950,NA,8981.67448079726,6455.56571493128,12200.9423355333
1951,NA,8669.53662553214,5748.93411522348,12563.786671386
1952,NA,8324.77083635295,5319.48820958428,12543.1535335617
1953,NA,7988.65439005134,5091.32945528649,11981.1801399266
1954,NA,7633.1097025773,5113.4042960995,10982.3834482051
1955,NA,7250.28215170354,5305.54098631149,9765.294150603
1956,6963,6915.11058655949,6096.30250859672,7780.39784638014
1957,NA,6294.60034576772,4659.18790825768,8141.11575912529
1958,NA,5686.77603352547,4285.32831817255,7514.81996282834
1959,4884,5094.2255921453,4581.89286542234,5888.97121305673
1960,NA,6324.90791213244,4903.34411366408,8002.59971117035
1961,8150,7693.14840714435,6582.68160303929,8465.55696022821
1962,5725,5874.08096497312,5323.0084655178,6578.38899817761
1963,NA,5540.30531639743,4175.51423009909,7162.14343931534
1964,NA,5202.73449942309,3960.17127879237,6710.57836144227
